@RELATION weather2_clean60

@ATTRIBUTE temp NUMERIC
@ATTRIBUTE humidity NUMERIC
@ATTRIBUTE dewpoint NUMERIC
@ATTRIBUTE pressure NUMERIC
@ATTRIBUTE light NUMERIC
@ATTRIBUTE rain {0,1}

@data
36.2,43.8,21.94,1008.49,933,0
30.4,56.9,20.9,1005.52,213,0
35,45,21.3,1005.92,907,0
38.3,36.6,20.88,1006.74,926,0
27.9,79,23.92,1008.19,241,0
34.7,62.3,26.43,1004.72,969,0
33.9,50.4,22.15,1005.44,902,0
38,37,20.79,1001.58,944,0
32.7,55.1,22.51,1003.13,985,0
47.9,23.8,22.05,1009.62,1021,0
28.5,70.1,22.52,1009.17,241,0
24.9,78.2,20.84,1007.72,208,0
26.1,91.6,24.62,1008.28,323,0
35.8,48,23.09,1008.99,991,0
30.7,61.2,22.37,1009.79,243,0
27,64.7,19.79,1008.99,823,0
27.1,85.5,24.46,1010.51,243,0
31,52.6,20.18,1007.45,857,0
28.8,70.5,22.9,1008.18,213,0
27.8,75.4,23.05,1008.49,243,0
28.7,67.1,21.99,1008.72,213,0
30.2,68,23.64,1004.35,688,0
28.7,76.8,24.22,1008.85,212,0
32.5,58.3,23.26,1005.53,941,0
27.6,76.6,23.12,1007.97,241,0
34,51.7,22.66,1004.75,959,0
26.5,89.6,24.65,1007.78,236,0
29.7,69.1,23.43,1009.49,243,0
31.7,50,20.01,1004.05,390,0
24.4,92.1,23.03,1006.99,206,0
33.3,48,20.81,1007.34,903,0
28.2,81.5,24.73,1006.13,807,1
26,90,24.23,1007.93,809,0
28.6,66.6,21.77,1007.33,213,0
27.4,69,21.21,1008.99,213,0
26.9,72.2,21.47,1005.79,213,0
30.8,60,22.14,1004.25,213,0
28.8,76,24.15,1008.88,212,0
29.9,70.1,23.86,1009.23,243,0
27.7,71.2,22.01,1008.13,213,0
28.8,62.7,20.98,1005.32,213,0
30.9,57.6,21.57,1006.05,249,0
33.3,54.5,22.89,1006.99,935,0
21.1,90.6,19.5,1007.12,206,0
28.5,75.6,23.77,1007.3,212,0
28.1,77.8,23.86,1008.39,213,0
33.9,47,21.01,1005.12,885,0
29.5,75.4,24.69,1007.99,241,0
39.7,31.1,19.46,1007.68,967,0
32.8,51.9,21.62,1006.75,879,0
25.9,74.1,20.93,1007.54,212,0
28.5,68.9,22.24,1008.58,213,0
37.9,37.4,20.88,1006.83,907,0
26.7,86.6,24.28,1009.29,241,0
33.9,43.4,19.72,1008.63,894,0
49.8,18,19.07,1007.88,982,0
32,51.5,20.76,1004.39,861,0
34.8,44.9,21.08,1005.15,872,0
32.5,58.1,23.2,1005.8,556,0
27.9,69.9,21.9,1007.21,213,0
28.6,68.7,22.28,1008.49,213,0
29.1,61.9,21.05,1005.21,213,0
31.9,49,19.86,1006.21,885,0
35.7,44.3,21.68,1010.13,922,0
27,72.7,21.68,1006,212,0
27.5,70.9,21.75,1006.7,213,0
28.6,76.6,24.08,1008.83,212,0
28.8,63.2,21.11,1008.44,213,0
33.9,46.7,20.91,1007.22,907,0
30.4,64.5,22.95,1007.8,243,0
34.8,51.2,23.24,1010.62,948,0
27.9,74.4,22.93,1008.3,241,0
32.5,51.9,21.35,1007.2,907,0
27,85.4,24.34,1010.88,243,0
36,46.4,22.71,1007.29,956,0
38.6,39.4,22.35,1003.21,941,0
26.1,85.4,23.46,1007.34,894,0
23.9,91,22.34,1008.2,208,0
29.4,71.8,23.78,1009.11,213,0
34.7,49.4,22.56,1007.19,933,0
