@RELATION weather_clean_2hr_60

@ATTRIBUTE temp NUMERIC
@ATTRIBUTE humidity NUMERIC
@ATTRIBUTE dewpoint NUMERIC
@ATTRIBUTE pressure NUMERIC
@ATTRIBUTE light NUMERIC
@ATTRIBUTE rain {0,1}

@data
28.1,68.8,21.83,1007.28,213,0
35.9,42.8,21.29,1007.14,876,0
29.1,65.3,21.93,1008.71,213,0
26.8,87.7,24.59,1009.78,0,0
36.4,41.5,21.24,1008.86,1019,0
30.5,61.2,22.18,1009.88,243,0
41.9,37.2,24.31,1005.71,1009,0
50.5,22.2,23.06,1009.62,1017,0
28.4,79.7,24.55,1008.3,238,0
27.8,71.6,22.2,1007.73,245,0
34.1,44.4,20.27,1005.13,905,0
29.6,73.3,24.31,1007.18,243,0
33.6,45.9,20.35,1005.15,909,0
27.3,88.8,25.29,1005.17,241,0
32.2,59.7,23.37,1010.48,933,0
32.6,58.2,23.32,1009.47,967,0
30.7,56.2,20.98,1007.57,213,0
32.5,50.3,20.84,1003.69,848,0
31.8,54.1,21.38,1003.52,876,0
27.5,71.6,21.91,1005.61,213,0
30.8,61.8,22.63,1006.16,606,0
34.3,43.8,20.23,1005.08,907,0
27.6,71.3,21.94,1007.11,213,0
29.3,76.5,24.74,1008.69,243,0
37.7,39.8,21.71,1008.43,1015,0
26.4,76.8,22,1006.18,760,0
28.5,75,23.64,1006.91,212,0
47.6,21.3,20,1005.74,1019,0
26.4,90.4,24.7,1007.7,239,0
29.1,76.5,24.55,1006.15,280,0
26.5,90.6,24.84,1007.84,234,0
30,69.4,23.79,1005.4,208,0
31.3,51.3,20.05,1006.32,844,0
27.9,70.7,22.09,1004.77,213,0
28,78.7,23.95,1005.77,212,0
26.9,87.3,24.61,1009.93,243,0
34.7,52.9,23.69,1005.33,978,0
32.9,55,22.67,1005.61,954,0
32.3,45.8,19.14,1005.72,766,0
34.1,43.1,19.79,1006.43,885,0
32.4,55.3,22.29,1010.36,916,0
28.2,77.2,23.83,1008.47,212,0
31.4,54,20.98,1006.4,230,0
27.8,74.9,22.94,1008.46,243,0
34.9,48.7,22.5,1009.94,948,0
36.7,43.9,22.43,1009.63,933,0
34.4,47.8,21.74,1004.71,850,0
31,46.3,18.13,1008.82,877,0
27.7,87.8,25.49,1005.28,241,0
26.2,86.4,23.75,1007.2,239,0
28.8,74.8,23.88,1007.14,212,0
28.9,76.5,24.35,1003.59,842,0
34.3,50.2,22.45,1007.27,928,0
34.1,46.9,21.16,1005.01,876,0
29.1,61.9,21.05,1005.21,213,0
27.9,69.9,21.9,1007.21,213,0
33.8,57.1,24.12,1010.08,943,0
28.3,72.1,22.79,1008.99,241,0
28.9,66.5,22.03,1008.63,213,0
34.8,44.7,21.01,1005.14,851,0
26.8,79.7,23,1007.69,212,0
33.6,54.9,23.29,1009.82,924,0
32.3,58.3,23.07,1007.35,900,0
33.4,54.5,22.98,1003.54,933,0
26.7,80,22.96,1008.79,243,0
29.3,63.5,21.66,1005.99,275,0
30.4,68.4,23.93,1004.7,204,0
27.6,75.3,22.83,1008.39,243,0
34.6,47.7,21.89,1006.12,887,0
33.4,51.1,21.92,1007.49,876,0
32.8,49,20.69,1007.53,874,0
26.8,83,23.67,1006.84,239,0
29.1,73.5,23.88,1010.32,243,0
33.3,55.9,23.31,1006.41,933,0
31.5,62.8,23.55,1005.95,375,0
33.6,45.8,20.32,1007.39,900,0
29,77.2,24.6,1006.51,243,0
32.2,63.5,24.4,1008.84,241,0
32.3,64.5,24.75,1004.29,924,0
26.9,86.6,24.47,1004.54,213,0
26.6,83.9,23.65,1006.7,239,0
32.4,58.8,23.31,1007.16,243,0
29,63.2,21.3,1006.6,213,0
33.5,47.4,20.78,1005.22,896,0
27.1,85.6,24.48,1010.85,243,0
30.5,59.9,21.83,1006.26,213,0
28.1,78.1,23.92,1008.44,213,0
34.7,42.9,20.25,1005.43,859,0
24.1,91.8,22.68,1007.32,208,0
32.9,54.9,22.64,1003.24,976,0
34.7,46.5,21.56,1005.46,892,0
35.6,47.9,22.87,1007.06,952,0
28.6,72.5,23.17,1008.27,213,0
27.5,75.3,22.74,1008.54,243,0
27.5,76.2,22.93,1005.12,213,0
33.7,56.2,23.77,1006.75,933,0
38.6,39.4,22.35,1006.52,969,0
33.7,53.4,22.92,1007.69,948,0
30.2,69.8,24.07,1004.88,243,0
28.4,72.6,23,1009.12,926,0
48.2,23.4,22.02,1009.67,1017,0
26.1,66.8,19.45,1008.03,260,0
26.5,89.2,24.58,1007.81,234,0
30.8,66.9,23.94,1004.3,204,0
26.8,82.4,23.55,1009.32,243,0
35.7,44.3,21.68,1010.13,922,0
27.4,87.1,25.06,1005.28,241,0
26.4,73,21.17,1005.3,213,0
27.1,78.6,23.06,1007.96,212,0
28.4,75.9,23.74,1007.33,212,0
36.1,46,22.66,1006.7,1004,0
27.9,73.1,22.63,1008.08,213,0
33.7,48.7,21.41,1008,894,0
24.9,90.5,23.24,1009.72,119,0
28.1,75.3,23.32,1008.45,243,0
27.8,69.5,21.71,1008.84,213,0
30.8,53,20.12,1004.89,213,0
40.7,32,20.79,1004.49,946,0
26.5,84.1,23.59,1006.65,236,0
26.8,81.2,23.31,1007.47,212,0
34.3,43.8,20.23,1005.19,892,0
27.9,75.7,23.21,1006.02,885,0
27.5,71.9,21.98,1005.79,489,0
33.9,50.7,22.25,1006.96,928,0
38.1,37.2,20.97,1006.64,922,0
31.9,61.3,23.53,1006,468,0
26.2,84.1,23.3,1007.9,797,0
30.1,70.4,24.12,1010.22,916,0
33,55.6,22.94,1003.59,217,0
48.9,23,22.32,1007.06,980,0
27.6,75.8,22.94,1005.52,213,0
29,67,22.25,1009.7,241,0
28.1,77.9,23.88,1008.43,213,0
42.7,33.7,23.37,1005.59,1009,0
37.2,35.9,19.6,1004.42,911,0
23.7,90.9,22.12,1008.17,208,0
28.7,75.1,23.85,1010.25,779,0
30.1,69.6,23.93,1005.3,840,0
28.9,73.7,23.73,1007.18,212,0
26.2,85.7,23.61,1006.82,236,0
28.7,74.6,23.74,1009.56,243,0
29.8,69.9,23.72,1009.72,241,0
27.5,75.2,22.72,1008.57,243,0
32.4,49.4,20.45,1003.57,846,0
30.4,56.9,20.9,1005.52,213,0
29.3,71.7,23.66,1009.04,213,0
28.4,72.5,22.98,1008.93,241,0
27.4,80.1,23.66,1008.29,239,0
37.2,41.6,21.99,1010.46,939,0
32,61.1,23.57,1008.74,877,0
28.9,62.4,20.99,1008.21,213,0
26.5,90.3,24.78,1007.96,238,0
26.1,89.9,24.31,1007.92,835,0
30.2,58,21.02,1007.87,213,0
28.1,69.1,21.9,1005.62,213,0
28.1,78.5,24.01,1008.2,212,0
26.4,90.2,24.66,1007.83,236,0
27.4,68.2,21.02,1009.14,213,0
29.6,67.2,22.87,1011.05,243,0
27.6,71.5,21.98,1007.15,213,0
28.2,68.7,21.9,1005.2,213,0
28.7,74.9,23.81,1007.38,212,0
27,85.3,24.32,1004.51,213,0
28.1,69.3,21.95,1007.25,213,0
34.5,46.2,21.28,1004.99,885,0
31.5,49.8,19.76,1006.63,874,0
29.9,64.6,22.51,1010.63,243,0
33.1,57.1,23.47,1006.67,911,0
26.2,83.9,23.26,1007.34,239,0
32.5,62.5,24.41,1008.95,959,0
28.1,71.8,22.53,1008.47,213,0
30.6,66.3,23.6,1010.03,905,0
32.8,55.5,22.72,1003.48,976,0
27.2,75,22.38,1008.67,243,0
31.2,61,22.79,1006.58,243,0
27.5,86.1,24.97,1005.13,241,0
36.9,42.4,22.04,1008.65,930,0
26.3,69.7,20.32,1008.34,213,0
29.2,61.5,21.04,1006.05,213,0
36.9,42.7,22.15,1009.5,935,0
37.5,40.2,21.7,1007.82,926,0
27.4,75.2,22.62,1008.9,877,0
28.1,75.3,23.32,1006.34,213,0
27.8,75.5,23.07,1008.32,243,0
27,87.4,24.73,1004.49,213,0
27.9,77,23.49,1008.01,241,0
33.3,51.9,22.08,1005.51,890,0
29.6,58.7,20.66,1006.08,213,0
30.8,69.4,24.55,1004.92,206,0
26.4,72.3,21.01,1005.34,213,0
